Provincie;Gemeente;NISCODE;Jaar;Maand;Vermogen wind in kW;Aantal windturbines;datum_bron_bestand;bronbestand
ANTWERPEN;ANTWERPEN;"11002";< 2006;;4000.000;2;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2008;3;12000.000;6;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2008;8;8000.000;4;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2009;5;3000.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2013;10;3400.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2014;10;2350.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2014;12;4700.000;2;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2017;2;12000.000;4;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2017;3;18000.000;7;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2017;8;3000.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2017;10;21000.000;7;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2017;11;3000.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2018;10;6400.000;2;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2018;11;3200.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2019;9;3200.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2021;2;2350.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2021;3;7000.000;2;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2021;7;3500.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ANTWERPEN;"11002";2021;11;1000.000;0;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ARENDONK;"13001";2011;9;13800.000;6;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;ARENDONK;"13001";2015;5;2300.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;BORNEM;"12007";2020;7;2300.000;1;2022-02-28;installaties_wind_202202.xlsx
ANTWERPEN;BRECHT;"11009";2012;11;6000.000;3;2022-02-28;installaties_wind_202202.xlsx
